cid,action,Full name,Shortened name,account,type,status,sent_time,sent,delivered,received,dnd,bad,spam,landline,err,skipped,replies,responses,delivered_percent,replies_percent
c_zjtlzwbdahbqh4ptde,63,64300_EmpowerSaves_OH_Text62_Yearly_Savings_COAD,Text62_Yearly_Savings_COAD,Ohio Partners for Affordable Energy,SMS,Archived,2025-09-10 21:25:48 GMT-0000,878,857,7,7,4,0,0,21,0,0,0,98,0
c_zjtlzwbdahbqh4ptde,64,64484_EmpowerSaves_OH_Text63_Time_Running_Out_IMPACT_morning,Text63_Time_Running_Out_IMPACT_morning,Ohio Partners for Affordable Energy,SMS,Archived,2025-09-26 15:00:57 GMT-0000,386,360,2,0,1,2,0,26,0,2,0,93,1
c_zjtlzwbdahbqh4ptde,65,64485_EmpowerSaves_OH_Text64_Time_Running_Out_IMPACT_Evening,Text64_Time_Running_Out_IMPACT_Evening,Ohio Partners for Affordable Energy,SMS,Archived,2025-09-26 22:04:26 GMT-0000,375,361,4,3,1,0,0,14,0,1,0,96,0
c_zjtlzwbdahbqh4ptde,66,64486_EmpowerSaves_OH_Text65_Time_Running_Out_OHCAC_morning,Text65_Time_Running_Out_OHCAC_morning,Ohio Partners for Affordable Energy,SMS,Archived,2025-09-26 12:04:30 GMT-0000,437,429,1,1,2,0,0,8,0,0,0,98,0
c_zjtlzwbdahbqh4ptde,67,64487_EmpowerSaves_OH_Text66_Time_Running_Out_OHCAC_Evening,Text66_Time_Running_Out_OHCAC_Evening,Ohio Partners for Affordable Energy,SMS,Archived,2025-09-26 22:07:29 GMT-0000,477,468,3,2,3,0,0,9,0,1,0,98,0
c_zjtlzwbdahbqh4ptde,68,64488_EmpowerSaves_OH_Text67_Time_Running_Out_MVCAP_morning,Text67_Time_Running_Out_MVCAP_morning,Ohio Partners for Affordable Energy,SMS,Archived,2025-09-26 12:07:17 GMT-0000,377,374,2,1,0,0,0,3,0,1,0,99,0
c_zjtlzwbdahbqh4ptde,69,64489_EmpowerSaves_OH_Text68_Time_Running_Out_MVCAP_Evening,Text68_Time_Running_Out_MVCAP_Evening,Ohio Partners for Affordable Energy,SMS,Archived,2025-09-26 22:09:13 GMT-0000,386,380,4,2,1,0,0,6,0,2,0,98,1
c_zjtlzwbdahbqh4ptde,71,64490_EmpowerSaves_OH_Text69_Time_Running_Out_COAD_morning,Text69_Time_Running_Out_COAD_morning,Ohio Partners for Affordable Energy,SMS,Archived,2025-09-26 12:10:35 GMT-0000,428,423,4,3,2,0,0,5,0,1,0,99,0
c_zjtlzwbdahbqh4ptde,70,64491_EmpowerSaves_OH_Text70_Time_Running_Out_COAD_Evening,Text70_Time_Running_Out_COAD_Evening,Ohio Partners for Affordable Energy,SMS,Archived,2025-09-26 22:11:35 GMT-0000,432,419,3,3,0,0,0,13,0,0,0,97,0
c_zjtlzwbdahbqh4ptde,72,64576_EmpowerSaves_OH_Text71_Final_Day_COAD,Text71_Final_Day_COAD,Ohio Partners for Affordable Energy,SMS,Archived,2025-09-30 18:05:07 GMT-0000,854,774,10,10,5,58,0,80,0,0,0,91,0
c_zjtlzwbdahbqh4ptde,73,64577_EmpowerSaves_OH_Text72_Final_Day_IMPACT,Text72_Final_Day_IMPACT,Ohio Partners for Affordable Energy,SMS,Archived,2025-09-30 18:08:20 GMT-0000,752,714,8,7,0,3,0,38,0,1,0,95,0
c_zjtlzwbdahbqh4ptde,74,64578_EmpowerSaves_OH_Text73_Final_Day_OHCAC,Text73_Final_Day_OHCAC,Ohio Partners for Affordable Energy,SMS,Archived,2025-09-30 18:21:30 GMT-0000,471,465,2,1,0,0,0,6,0,1,0,99,0
c_zjtlzwbdahbqh4ptde,75,64579_EmpowerSaves_OH_Text74_Final_Day_MVCAP,Text74_Final_Day_MVCAP,Ohio Partners for Affordable Energy,SMS,Archived,2025-09-30 18:24:37 GMT-0000,760,753,5,5,0,0,0,7,0,0,0,99,0
